,Match_addr,County,Postal,PostalExt,Country,X,Y,>1,Pop 1 mile,Particulate Matter (PM 2.5 in ug/m3),Ozone (ppb),NATA Diesel PM (ug/m3),NATA Air Toxics Cancer Risk (risk per MM),NATA Respiratory Hazard Index,Traffic Proximity and Volume (daily traffic count/distance to road),Lead Paint Indicator (% pre-1960s housing),Superfund Proximity (site count/km distance),RMP Proximity (facility count/km distance),Hazardous Waste Proximity (facility count/km distance),Wastewater Discharge Indicators (toxicity-weighted concentration/m distance),Demographic Index,Minority Population,Low Income Population,Linguistically Isolated Population,Population with Less Than High School Education,Population under Age 5,Population over Age 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,"3933 Sledge Rd, Littleton, North Carolina, 27850",Halifax County,27850,7754,USA,-77.83050391,36.3052543,,35,7.9,40.4,0.152,30,0.39,0,0.18,0.015,0.067,0.039,3.30E-06,65%,76%,55%,1%,28%,2%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,"1374 Wright Rd, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,NA,USA,-77.79627782,36.40195217,,32,7.86,39.7,0.156,30,0.4,2.8,0.21,0.014,0.066,0.053,6.00E-05,48%,69%,28%,0%,19%,0%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,"386 Buck Dr, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,8349,USA,-77.72668831,36.43525971,,788,7.88,39.6,0.206,31,0.42,30,0.17,0.013,0.12,0.099,0,49%,45%,52%,0%,21%,14%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,"NC-48, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,NA,USA,-77.69112243,36.41511319,,1590,7.87,39.8,0.207,31,0.42,27,0.12,0.012,0.19,0.16,0.00055,72%,79%,65%,0%,21%,10%,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,"2413 Mullin Rd, Scotland Neck, North Carolina, 27874",Halifax County,27874,8200,USA,-77.49028989,36.0977176,,58,7.49,40,0.151,28,0.37,0,0.42,0.014,0.15,0.048,1.30E-06,36%,58%,14%,0%,22%,0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,"2041 Bellamy Lake Rd, Whitakers, North Carolina, 27891",Halifax County,27891,9269,USA,-77.77362135,36.15709866,,16,7.9,40.4,0.152,30,0.39,2,0.098,0.015,0.077,0.058,3.40E-06,75%,91%,60%,0%,29%,4%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,"14711 Highway 48, Littleton, North Carolina, 27850",Halifax County,27850,NA,USA,-77.8286025,36.310932,,52,7.89,40.2,0.171,30,0.4,9.4,0.16,0.015,0.15,0.044,7.30E-06,63%,71%,54%,1%,27%,2%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,"504 Quebec Rd, Colerain, North Carolina, 27924",Bertie County,27924,9490,USA,-76.8457977,36.22846428,,126,6.99,39.1,0.134,26,0.33,0,0.23,0.014,0.076,0.055,0,53%,70%,37%,0%,24%,12%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,"179 Finch Dr, Hollister, North Carolina, 27844",Halifax County,27844,9756,USA,-77.92238036,36.28776446,,456,7.9,40.4,0.152,30,0.39,0,0.15,0.016,0.051,0.038,1.80E-06,72%,87%,56%,1%,28%,7%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,"74 Bells Rd, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,9465,USA,-77.63375973,36.3968956,,584,7.83,39.6,0.226,31,0.43,30,0.12,0.011,0.31,0.24,8.30E-06,58%,71%,45%,0%,29%,5%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,"634 Myrick Estates Rd, Littleton, North Carolina, 27850",Halifax County,27850,9371,USA,-77.834322,36.473157,,130,7.86,39.7,0.156,30,0.4,2.8,0.059,0.014,0.055,0.047,0.028,21%,17%,24%,0%,10%,3%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,"16353 Justice Branch Rd, Littleton, North Carolina, 27850",Halifax County,27850,8620,USA,-77.78602897,36.35442893,,19,7.86,39.9,0.208,31,0.42,24,0.18,0.013,0.22,0.078,0,46%,36%,55%,0%,24%,6%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,"19197 NC-481, Enfield, North Carolina, 27823",Halifax County,27823,15,USA,-77.7865316,36.17438004,,93,7.83,40.3,0.174,30,0.39,32,0.22,0.013,0.44,0.099,7.40E-06,65%,88%,42%,0%,41%,6%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,"258 Stamper Siding Rd, Scotland Neck, North Carolina, 27874",Halifax County,27874,8688,USA,-77.404383,36.095202,,174,7.49,40,0.151,28,0.37,0,0.37,0.016,0.17,0.042,0.00018,63%,58%,69%,0%,28%,5%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,"108 James Edward Dr, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,9700,USA,-77.66439071,36.43487703,,3166,7.89,39.7,0.298,33,0.45,260,0.26,0.012,0.35,0.25,0.0071,68%,74%,63%,2%,28%,6%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"5039 Wright Rd, Littleton, North Carolina, 27850",Halifax County,27850,2500,USA,-77.85237579,36.40595972,,8,7.86,39.7,0.156,30,0.4,2.8,0.21,0.014,0.066,0.053,6.00E-05,48%,69%,28%,0%,19%,0%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,"1767 Mary Chapel Rd, Halifax, North Carolina, 27839",Halifax County,27839,7800,USA,-77.48492732,36.21916834,1.2,40,7.68,39.8,0.166,29,0.39,0,0.3,0.012,0.089,0.041,0.0016,38%,58%,19%,0%,19%,0%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,"154 Ras Rd, Enfield, North Carolina, 27823",Halifax County,27823,9260,USA,-77.8777773,36.2335133,,514,7.9,40.4,0.152,30,0.39,2,0.098,0.015,0.077,0.058,3.40E-06,75%,91%,60%,0%,29%,4%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,"137 Wonder Rd, Enfield, North Carolina, 27823",Halifax County,27823,9283,USA,-77.85725807,36.25038805,,179,7.9,40.4,0.152,30,0.39,2,0.098,0.015,0.077,0.058,3.40E-06,75%,91%,60%,0%,29%,4%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,"65 Gregory Farm Rd, Halifax, North Carolina, 27839",Halifax County,27839,9371,USA,-77.64930445,36.32737214,,37,7.68,39.8,0.166,29,0.39,7.4,0.21,0.011,0.18,0.071,0.0043,70%,79%,61%,0%,17%,3%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,"927 Otter Lane, Scotland Neck, North Carolina, 27874",Halifax County,27874,NA,USA,-77.351472,36.109953,,15,7.49,40,0.151,28,0.37,0,0.37,0.016,0.17,0.042,0.00018,63%,58%,69%,0%,28%,5%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Summit Rd, Littleton, North Carolina, 27850",Halifax County,27850,NA,USA,-77.82372066,36.45444162,,169,7.86,39.7,0.156,30,0.4,5.6,0.17,0.014,0.064,0.054,0.011,62%,69%,55%,0%,21%,0%,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,"1036 Kehukee Church Rd, Scotland Neck, North Carolina, 27874",Halifax County,27874,8205,USA,-77.40215094,36.09713177,,179,7.49,40,0.151,28,0.37,0,0.37,0.016,0.17,0.042,0.00018,63%,58%,69%,0%,28%,5%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,"2570 Mary Chapel Rd, Halifax, North Carolina, 27839",Halifax County,27839,8837,USA,-77.47493214,36.20963862,2,167,7.65,39.8,0.164,29,0.38,0,0.33,0.012,0.18,0.04,0.0014,38%,54%,22%,0%,19%,1%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,"4062 Drapers Rd, Enfield, North Carolina, 27823",Halifax County,27823,8192,USA,-77.77953523,36.21919379,,105,7.81,40.3,0.181,30,0.39,39,0.33,0.012,0.24,0.073,1.10E-05,75%,93%,58%,0%,56%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"7458 Douglass Hill Farm Rd, Scotland Neck, North Carolina, 27874",Halifax County,27874,8670,USA,-77.50143869,36.0789583,,42,7.49,40,0.151,28,0.37,0,0.42,0.014,0.15,0.048,1.30E-06,36%,58%,14%,0%,22%,0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,"14258 Highway 903, Halifax, North Carolina, 27839",Halifax County,27839,NA,USA,-77.617305,36.338769,,131,7.68,39.8,0.166,29,0.39,7.4,0.21,0.011,0.18,0.071,0.0043,70%,79%,61%,0%,17%,3%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,"304 Wallace Fork Rd, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,8448,USA,-77.62867996,36.40639435,,706,7.83,39.6,0.224,31,0.43,29,0.12,0.011,0.3,0.23,7.70E-06,59%,72%,47%,0%,28%,5%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,"US-301 S, Weldon, North Carolina, 27890",Halifax County,27890,NA,USA,-77.59294043,36.42530904,,1448,7.83,39.6,0.226,31,0.43,200,0.6,0.011,0.63,0.45,0.019,66%,73%,61%,0%,17%,8%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,"148 Cobra Lane, Scotland Neck, North Carolina, 27874",Halifax County,27874,NA,USA,-77.49320321,36.05159448,,122,7.49,40,0.151,28,0.37,0,0.42,0.014,0.15,0.048,1.30E-06,36%,58%,14%,0%,22%,0%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"2792 Highway 48, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,NA,USA,-77.6950335,36.41553,,1439,7.87,39.7,0.207,31,0.42,29,0.12,0.012,0.18,0.16,0.00065,72%,78%,66%,0%,22%,9%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"598 Deer Run Dr, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,8318,USA,-77.72312922,36.43651861,,863,7.88,39.6,0.206,31,0.42,30,0.16,0.012,0.12,0.11,0.00013,52%,49%,54%,0%,21%,14%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,"645 Melton Bridge Rd, Whitakers, North Carolina, 27891",Halifax County,27891,8715,USA,-77.8423095,36.16569,,44,7.9,40.4,0.152,30,0.39,2,0.098,0.015,0.077,0.058,3.40E-06,75%,91%,60%,0%,29%,4%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,"54 Petunia Ln, Roanoke Rapids, North Carolina, 27870",Halifax County,27870,6288,USA,-77.69368924,36.41909586,,1337,7.87,39.7,0.207,31,0.42,29,0.12,0.012,0.18,0.16,0.00065,72%,78%,66%,0%,22%,9%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,"2447 Adcock Rd, Whitakers, North Carolina, 27891",Halifax County,27891,9238,USA,-77.84634146,36.15695619,,122,7.9,40.4,0.152,30,0.39,2,0.098,0.015,0.077,0.058,3.40E-06,75%,91%,60%,0%,29%,4%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,"1514 Dog Kennel Rd, Halifax, North Carolina, 27839",Halifax County,27839,8861,USA,-77.53418254,36.24862953,,21,7.68,39.8,0.166,29,0.39,0,0.3,0.012,0.089,0.041,0.0016,38%,58%,19%,0%,19%,0%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,"7610 NC-481, Enfield, North Carolina, 27823",Halifax County,27823,8992,USA,-77.60294732,36.20768743,,81,7.68,39.8,0.166,29,0.39,7.4,0.21,0.011,0.18,0.071,0.0043,70%,79%,61%,0%,17%,3%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,"5886 Heathsville Rd, Enfield, North Carolina, 27823",Halifax County,27823,8743,USA,-77.74926894,36.255836,,91,7.83,40.1,0.19,31,0.4,35,0.28,0.013,0.2,0.059,1.30E-05,71%,83%,60%,0%,48%,0%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,"6812 Ringwood Rd, Enfield, North Carolina, 27823",Halifax County,27823,8186,USA,-77.7856686,36.21843419,,43,7.81,40.3,0.181,30,0.39,40,0.3,0.012,0.38,0.091,1.00E-05,69%,90%,48%,0%,51%,4%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,"500 Sylvan Heights Park Way, Scotland Neck, North Carolina, 27874",Halifax County,27874,NA,USA,-77.41429107,36.14564371,,594,7.49,40,0.151,28,0.37,0,0.41,0.014,1.3,0.036,0.00023,54%,56%,51%,1%,22%,7%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,"202 Tunis Rd, Winton, North Carolina, 27986",Hertford County,27986,9749,USA,-76.89067255,36.37892195,,119,7.22,38.9,0.146,27,0.36,0.04,0.13,0.016,0.095,0.13,0.0002,64%,74%,54%,0%,25%,4%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,"813 Swains Mill Rd, Harrellsville, North Carolina, 27942",Hertford County,27942,9755,USA,-76.72197164,36.30425403,2,128,7.22,38.9,0.146,27,0.36,0,0.22,0.015,0.34,0.14,0.00021,56%,71%,40%,0%,26%,3%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,"751 New Hope Church Rd, Como, North Carolina, 27818",Hertford County,27818,9524,USA,-77.02954677,36.53817779,,49,7.47,39,0.166,28,0.38,3.3,0.3,0.019,0.11,0.29,1.2,30%,35%,24%,0%,15%,7%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,"813 Swains Mill Rd, Harrellsville, North Carolina, 27942",Hertford County,27942,9755,USA,-76.72197164,36.30425403,2,128,7.22,38.9,0.146,27,0.36,0,0.22,0.015,0.34,0.14,0.00021,56%,71%,40%,0%,26%,3%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,"1132 Parkers Ferry Rd, Como, North Carolina, 27818",Hertford County,27818,9552,USA,-76.95431948,36.4380263,2,57,7.23,38.9,0.147,27,0.35,9,0.28,0.02,0.057,0.067,0.00042,60%,70%,46%,0%,18%,3%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,"235 Sthy 561 West, Ahoskie, North Carolina, 27910",Hertford County,27910,NA,USA,-77.0144265,36.29385,,612,7.24,39.1,0.185,28,0.37,0,0.35,0.014,0.057,0.055,0,46%,52%,41%,1%,17%,6%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,"813 New Hope Church Rd, Como, North Carolina, 27818",Hertford County,27818,9523,USA,-77.03215917,36.53749529,,53,7.44,39,0.16,28,0.37,2.3,0.27,0.019,0.094,0.23,0.82,34%,38%,30%,0%,15%,5%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,"325 Boones Bridge Rd, Como, North Carolina, 27818",Hertford County,27818,9502,USA,-77.06992481,36.51776537,,47,7.36,39,0.146,28,0.37,0.0036,0.2,0.018,0.064,0.068,0.00082,45%,44%,45%,0%,15%,1%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,"740 Buck Branch Rd, Aulander, North Carolina, 27805",Bertie County,27805,9553,USA,-77.1704688,36.24007529,,27,7.33,39.1,0.15,28,0.36,0,0.23,0.013,0.062,0.05,0,33%,23%,43%,0%,29%,3%,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,"248 Union Rd, Ahoskie, North Carolina, 27910",Hertford County,27910,8009,USA,-77.02723483,36.32020538,,154,7.33,39.1,0.15,28,0.36,0,0.08,0.014,0.056,0.057,7.50E-08,52%,68%,36%,0%,22%,3%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,"135 Mt Tabor Church Road, Murfreesboro, North Carolina, 27855",Hertford County,27855,NA,USA,-77.01742533,36.40442277,,74,7.36,39,0.146,28,0.37,5.3,0.37,0.015,0.074,0.074,2.60E-06,77%,83%,71%,0%,13%,4%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,"Maple St, Murfreesboro, North Carolina, 27855",Hertford County,27855,NA,USA,-77.10582244,36.43216447,,2587,7.36,39,0.146,28,0.37,5.2,0.27,0.015,0.095,0.095,4.40E-06,49%,60%,40%,1%,15%,4%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,"1247 Swains Mill Rd, Harrellsville, North Carolina, 27942",Hertford County,27942,9739,USA,-76.73141046,36.27344777,,35,7.22,38.9,0.146,27,0.36,0,0.22,0.015,0.34,0.14,0.00021,56%,71%,40%,0%,26%,3%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,"745 New Hope Church Rd, Como, North Carolina, 27818",Hertford County,27818,9524,USA,-77.02866078,36.538239,,49,7.47,39,0.166,28,0.38,3.3,0.3,0.019,0.11,0.29,1.2,30%,35%,24%,0%,15%,7%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,"x=-77.147999, y=36.306553",Hertford County,27897,NA,USA,-77.15242471,36.32248544,,39,7.33,39.1,0.15,28,0.36,0,0.11,0.014,0.057,0.055,6.30E-08,48%,60%,37%,0%,23%,3%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,"305 N Murfree St, Winton, North Carolina, 27986",Hertford County,27986,9638,USA,-76.93350974,36.39219659,,1082,7.22,38.9,0.146,27,0.36,12,0.28,0.016,0.059,0.073,0.0007,71%,84%,58%,0%,18%,3%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
